['Times Sq-42 St', [1, '1', 'Van Cortlandt Park-242 St'], [1, '2', 'Wakefield-241 St'], [6, '1', 'Van Cortlandt Park-242 St']] 2022-01-05 19:56:28.639205
['Times Sq-42 St', [2, '1', 'Van Cortlandt Park-242 St'], [4, '1', 'Van Cortlandt Park-242 St'], [4, '2', 'Wakefield-241 St']] 2022-01-05 20:02:07.719598
['86 St', [2, 'c', '168 St'], [22, 'c', '168 St'], [32, 'c', '168 St']] 2022-01-05 20:02:17.704942
['86 St', [9, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av'], [30, 'c', 'Euclid Av']] 2022-01-05 20:02:18.213721
['86 St', [2, 'c', '168 St'], [22, 'c', '168 St'], [32, 'c', '168 St']] 2022-01-05 20:02:25.196039
['86 St', [9, 'c', 'Euclid Av'], [17, 'c', 'Euclid Av'], [30, 'c', 'Euclid Av']] 2022-01-05 20:02:25.648783
['86 St', [2, 'c', '168 St'], [22, 'c', '168 St'], [31, 'c', '168 St']] 2022-01-05 20:02:32.178509
['86 St', [9, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [30, 'c', 'Euclid Av']] 2022-01-05 20:02:33.604182
['86 St', [2, 'c', '168 St'], [21, 'c', '168 St'], [31, 'c', '168 St']] 2022-01-05 20:02:39.147052
['86 St', [9, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [30, 'c', 'Euclid Av']] 2022-01-05 20:02:40.523452
['86 St', [2, 'c', '168 St'], [21, 'c', '168 St'], [30, 'c', '168 St']] 2022-01-05 20:02:45.804526
['86 St', [9, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [30, 'c', 'Euclid Av']] 2022-01-05 20:02:47.398612
['86 St', [2, 'c', '168 St'], [21, 'c', '168 St'], [30, 'c', '168 St']] 2022-01-05 20:02:52.650911
['86 St', [9, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [29, 'c', 'Euclid Av']] 2022-01-05 20:02:54.284581
['86 St', [2, 'c', '168 St'], [20, 'c', '168 St'], [30, 'c', '168 St']] 2022-01-05 20:02:59.311017
['86 St', [9, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [29, 'c', 'Euclid Av']] 2022-01-05 20:03:01.462007
['Times Sq-42 St', [3, '1', 'Van Cortlandt Park-242 St'], [3, '3', 'Harlem-148 St'], [4, '3', 'Harlem-148 St']] 2022-01-05 20:16:03.297651
['Times Sq-42 St', [2, '3', 'Harlem-148 St'], [3, '1', 'Van Cortlandt Park-242 St'], [4, '3', 'Harlem-148 St']] 2022-01-05 20:16:34.922470
