[3, '6', '601N', '640N', 'Woodlawn', 'Brooklyn Bridge-City Hall'] 2022-02-06 15:28:38.999674
[3, '6', '601N', '640N', 'Woodlawn', 'Brooklyn Bridge-City Hall'] 2022-02-06 15:28:59.958983
[3, '5', '501N', '640N', 'Woodlawn', 'Brooklyn Bridge-City Hall'] 2022-02-06 15:29:31.371103
[9, 'F', 'F38S', 'F06S', 'World Trade Center', 'Kew Gardens-Union Tpke'] 2022-02-06 17:15:10.554394
[2, 'E', 'G05N', 'F06N', 'Jamaica Center-Parsons/Archer', 'Kew Gardens-Union Tpke'] 2022-02-06 17:15:53.647606
[8, 'F', 'F38S', 'F06S', 'World Trade Center', 'Kew Gardens-Union Tpke'] 2022-02-06 17:16:05.638698
[10, '6', '601N', '640N', 'Woodlawn', 'Brooklyn Bridge-City Hall'] 2022-02-06 17:17:39.947977
[2, '4', '401N', '237N', 'Wakefield-241 St', 'Grand Army Plaza'] 2022-02-06 17:18:18.176830
[2, 'F', 'F38S', 'F06S', 'Avenue X', 'Kew Gardens-Union Tpke'] 2022-02-06 17:20:52.985655
[3, '4', '401N', '237N', 'Wakefield-241 St', 'Grand Army Plaza'] 2022-02-06 17:24:51.446348
[8, '6', '601N', '636N', 'Pelham Bay Park', 'Astor Pl'] 2022-02-06 17:45:48.687832
[10, 'E', 'E01S', 'F06S', 'Avenue X', 'Kew Gardens-Union Tpke'] 2022-02-06 18:17:31.749173
[10, 'E', 'E01S', 'F06S', 'Avenue X', 'Kew Gardens-Union Tpke'] 2022-02-06 18:17:46.188683
[7, 'E', 'E01S', 'F06S', 'World Trade Center', 'Kew Gardens-Union Tpke'] 2022-02-06 18:20:55.528444
[5, '6', '601N', '636N', 'Pelham Bay Park', 'Astor Pl'] 2022-02-06 18:21:06.417716
[7, '6', '601N', '636N', 'Pelham Bay Park', 'Astor Pl'] 2022-02-06 18:50:57.578810
[19, '6', '601N', '636N', 'Pelham Bay Park', 'Astor Pl'] 2022-02-06 18:55:27.901088
[18, '6', '601N', '636N', 'Pelham Bay Park', 'Astor Pl'] 2022-02-06 18:55:37.218238
[17, '6', '601N', '636N', 'Pelham Bay Park', 'Astor Pl'] 2022-02-06 18:56:48.817779
[2, 'F', 'F38S', 'F06S', 'Avenue X', 'Kew Gardens-Union Tpke'] 2022-02-06 18:56:55.892731
[2, 'F', 'F38S', 'F06S', 'Avenue X', 'Kew Gardens-Union Tpke'] 2022-02-06 18:57:29.986857
[28, '6', '601N', '636N', 'Pelham Bay Park', 'Astor Pl'] 2022-02-06 18:58:25.357708
[27, '6', '601N', '636N', 'Pelham Bay Park', 'Astor Pl'] 2022-02-06 18:58:43.349334
[1, 'F', 'F38S', 'F06S', 'Avenue X', 'Kew Gardens-Union Tpke'] 2022-02-06 18:58:49.950706
[5, '1', '142S', '137S', 'South Ferry', 'Chambers St'] 2022-02-06 19:14:38.351388
[7, '2', '247S', '137S', 'Flatbush Av-Brooklyn College', 'Chambers St'] 2022-02-06 19:14:40.347353
[11, '2', '247S', '137S', 'Flatbush Av-Brooklyn College', 'Chambers St'] 2022-02-06 19:14:42.098084
[14, '1', '142S', '137S', 'South Ferry', 'Chambers St'] 2022-02-06 19:14:44.057409
[24, '1', '142S', '137S', 'South Ferry', 'Chambers St'] 2022-02-06 19:14:46.011680
[28, '6', '601N', '636N', 'Pelham Bay Park', 'Astor Pl'] 2022-02-06 20:37:40.869779
