['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [4, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:28:27.394194
['Lexington Av/53 St', [1, 'm', 'Forest Hills-71 Av'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:28:27.427105
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:28:35.419029
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'e', 'Jamaica-179 St']] 2021-12-21 09:28:35.458926
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:28:42.951512
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'e', 'Jamaica-179 St']] 2021-12-21 09:28:42.979472
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [3, 'l', '8 Av'], [8, 'l', '8 Av']] 2021-12-21 09:28:50.676076
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'e', 'Jamaica-179 St']] 2021-12-21 09:28:50.702006
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [7, 'l', '8 Av'], [16, 'l', '8 Av']] 2021-12-21 09:28:58.331913
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'e', 'Jamaica-179 St']] 2021-12-21 09:28:58.366784
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [7, 'l', '8 Av'], [16, 'l', '8 Av']] 2021-12-21 09:29:05.884134
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'e', 'Jamaica-179 St']] 2021-12-21 09:29:05.920037
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [7, 'l', '8 Av'], [16, 'l', '8 Av']] 2021-12-21 09:29:13.655929
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'e', 'Jamaica-179 St']] 2021-12-21 09:29:13.693862
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [7, 'l', '8 Av'], [16, 'l', '8 Av']] 2021-12-21 09:29:21.291584
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'e', 'Jamaica-179 St']] 2021-12-21 09:29:21.320507
['Myrtle-Wyckoff Avs', [3, 'l', '8 Av'], [7, 'l', '8 Av'], [15, 'l', '8 Av']] 2021-12-21 09:29:28.886182
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'e', 'Jamaica-179 St']] 2021-12-21 09:29:28.933052
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [7, 'l', '8 Av'], [15, 'l', '8 Av']] 2021-12-21 09:29:36.416778
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'e', 'Jamaica-179 St']] 2021-12-21 09:29:36.448688
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [7, 'l', '8 Av'], [15, 'l', '8 Av']] 2021-12-21 09:29:44.167080
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'e', 'Jamaica-179 St']] 2021-12-21 09:29:44.197998
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [6, 'l', '8 Av'], [15, 'l', '8 Av']] 2021-12-21 09:29:51.794938
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St']] 2021-12-21 09:29:51.821864
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [6, 'l', '8 Av'], [13, 'l', '8 Av']] 2021-12-21 09:29:59.371393
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St']] 2021-12-21 09:29:59.399282
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [8, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:30:06.806795
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [6, 'l', '8 Av'], [13, 'l', '8 Av']] 2021-12-21 09:30:07.179337
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [6, 'l', '8 Av'], [12, 'l', '8 Av']] 2021-12-21 09:30:14.434276
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:30:14.465190
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [6, 'l', '8 Av'], [12, 'l', '8 Av']] 2021-12-21 09:30:22.073746
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:30:22.112642
['Myrtle-Wyckoff Avs', [2, 'l', '8 Av'], [2, 'l', '8 Av'], [6, 'l', '8 Av']] 2021-12-21 09:30:29.852100
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:30:29.879028
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [6, 'l', '8 Av']] 2021-12-21 09:30:37.647884
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:30:37.674813
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [6, 'l', '8 Av']] 2021-12-21 09:30:45.256778
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:30:45.284705
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [1, 'l', '8 Av'], [5, 'l', '8 Av']] 2021-12-21 09:30:52.884565
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:30:52.926485
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [12, 'l', '8 Av']] 2021-12-21 09:31:00.402705
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:00.438640
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [12, 'l', '8 Av']] 2021-12-21 09:31:07.816113
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:07.856006
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:15.077664
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [11, 'l', '8 Av']] 2021-12-21 09:31:15.406275
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [7, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:22.433882
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [11, 'l', '8 Av']] 2021-12-21 09:31:22.848420
['Lexington Av/53 St', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:31:29.845231
['Myrtle-Wyckoff Avs', [1, 'l', '8 Av'], [5, 'l', '8 Av'], [11, 'l', '8 Av']] 2021-12-21 09:31:30.280629
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:37.161610
['Myrtle-Wyckoff Avs', [5, 'l', '8 Av'], [11, 'l', '8 Av'], [20, 'l', '8 Av']] 2021-12-21 09:31:37.905375
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:44.861712
['Myrtle-Wyckoff Avs', [5, 'l', '8 Av'], [11, 'l', '8 Av'], [20, 'l', '8 Av']] 2021-12-21 09:31:45.304873
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:52.116428
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [11, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:31:52.710498
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:31:59.120688
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [11, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:31:59.904490
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-12-21 09:32:06.315865
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [11, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:32:07.086703
['Lexington Av/53 St', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica-179 St'], [5, 'm', 'Forest Hills-71 Av']] 2021-12-21 09:32:13.641921
['Myrtle-Wyckoff Avs', [4, 'l', '8 Av'], [10, 'l', '8 Av'], [19, 'l', '8 Av']] 2021-12-21 09:32:14.538020
