['86 St', [6, 'c', 'Euclid Av'], [11, 'b', 'Brighton Beach'], [15, 'c', 'Euclid Av']] 2021-12-22 09:44:14.156092
['86 St', [2, 'b', '145 St'], [9, 'b', '145 St'], [10, 'c', '168 St']] 2021-12-22 09:44:14.174045
['86 St', [6, 'c', 'Euclid Av'], [11, 'b', 'Brighton Beach'], [15, 'c', 'Euclid Av']] 2021-12-22 09:44:21.678125
['86 St', [2, 'b', '145 St'], [9, 'b', '145 St'], [10, 'c', '168 St']] 2021-12-22 09:44:21.697074
['86 St', [6, 'c', 'Euclid Av'], [10, 'b', 'Brighton Beach'], [15, 'c', 'Euclid Av']] 2021-12-22 09:44:29.131660
['86 St', [1, 'b', '145 St'], [9, 'b', '145 St'], [10, 'c', '168 St']] 2021-12-22 09:44:29.165444
['86 St', [6, 'c', 'Euclid Av'], [10, 'b', 'Brighton Beach'], [15, 'c', 'Euclid Av']] 2021-12-22 09:44:36.713185
['86 St', [1, 'b', '145 St'], [9, 'b', '145 St'], [10, 'c', '168 St']] 2021-12-22 09:44:36.722127
['86 St', [6, 'c', 'Euclid Av'], [10, 'b', 'Brighton Beach'], [15, 'c', 'Euclid Av']] 2021-12-22 09:44:44.204538
['86 St', [9, 'b', '145 St'], [10, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:44:44.225482
['86 St', [6, 'c', 'Euclid Av'], [10, 'b', 'Brighton Beach'], [15, 'c', 'Euclid Av']] 2021-12-22 09:44:51.620728
['86 St', [9, 'b', '145 St'], [10, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:44:51.634723
['86 St', [5, 'c', 'Euclid Av'], [10, 'b', 'Brighton Beach'], [15, 'c', 'Euclid Av']] 2021-12-22 09:44:59.097125
['86 St', [8, 'b', '145 St'], [10, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:44:59.115076
['86 St', [5, 'c', 'Euclid Av'], [10, 'b', 'Brighton Beach'], [14, 'c', 'Euclid Av']] 2021-12-22 09:45:06.565360
['86 St', [8, 'b', '145 St'], [10, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:45:06.581349
['86 St', [8, 'b', '145 St'], [10, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:45:14.096005
['86 St', [5, 'c', 'Euclid Av'], [9, 'b', 'Brighton Beach'], [14, 'c', 'Euclid Av']] 2021-12-22 09:45:14.102985
['86 St', [8, 'b', '145 St'], [10, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:45:21.294826
['86 St', [4, 'c', 'Euclid Av'], [9, 'b', 'Brighton Beach'], [14, 'c', 'Euclid Av']] 2021-12-22 09:45:21.583221
['86 St', [8, 'b', '145 St'], [10, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:45:28.580614
['86 St', [4, 'c', 'Euclid Av'], [9, 'b', 'Brighton Beach'], [14, 'c', 'Euclid Av']] 2021-12-22 09:45:28.948819
['86 St', [7, 'b', '145 St'], [10, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:45:35.536326
['86 St', [4, 'c', 'Euclid Av'], [9, 'b', 'Brighton Beach'], [14, 'c', 'Euclid Av']] 2021-12-22 09:45:36.115999
['86 St', [7, 'b', '145 St'], [10, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:45:42.810504
['86 St', [4, 'c', 'Euclid Av'], [9, 'b', 'Brighton Beach'], [14, 'c', 'Euclid Av']] 2021-12-22 09:45:43.422766
['86 St', [7, 'b', '145 St'], [9, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:45:50.027650
['86 St', [4, 'c', 'Euclid Av'], [9, 'b', 'Brighton Beach'], [14, 'c', 'Euclid Av']] 2021-12-22 09:45:50.723154
['86 St', [6, 'b', '145 St'], [9, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:45:57.140233
['86 St', [4, 'c', 'Euclid Av'], [9, 'b', 'Brighton Beach'], [14, 'c', 'Euclid Av']] 2021-12-22 09:45:57.968780
['86 St', [6, 'b', '145 St'], [9, 'c', '168 St'], [15, 'b', '145 St']] 2021-12-22 09:46:04.410226
['86 St', [4, 'c', 'Euclid Av'], [8, 'b', 'Brighton Beach'], [13, 'c', 'Euclid Av']] 2021-12-22 09:46:05.174622
['86 St', [6, 'b', '145 St'], [8, 'c', '168 St'], [14, 'b', '145 St']] 2021-12-22 09:46:11.934040
['86 St', [4, 'c', 'Euclid Av'], [8, 'b', 'Brighton Beach'], [13, 'c', 'Euclid Av']] 2021-12-22 09:46:12.491950
['86 St', [6, 'b', '145 St'], [8, 'c', '168 St'], [14, 'b', '145 St']] 2021-12-22 09:46:18.981307
['86 St', [4, 'c', 'Euclid Av'], [8, 'b', 'Brighton Beach'], [13, 'c', 'Euclid Av']] 2021-12-22 09:46:19.678447
['86 St', [6, 'b', '145 St'], [8, 'c', '168 St'], [14, 'b', '145 St']] 2021-12-22 09:46:26.248750
['86 St', [4, 'c', 'Euclid Av'], [7, 'b', 'Brighton Beach'], [13, 'c', 'Euclid Av']] 2021-12-22 09:46:26.818331
