['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [3, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:36:11.904557
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [3, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:36:18.832037
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [3, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:36:26.051622
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:36:33.136953
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'm', 'Forest Hills-71 Av'], [7, 'f', 'Jamaica-179 St']] 2021-11-26 09:36:40.238037
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [7, 'f', 'Jamaica-179 St']] 2021-11-26 09:36:47.215930
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [7, 'f', 'Jamaica-179 St']] 2021-11-26 09:36:54.329371
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [7, 'f', 'Jamaica-179 St']] 2021-11-26 09:37:01.434610
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [6, 'f', 'Jamaica-179 St']] 2021-11-26 09:37:08.615927
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [6, 'f', 'Jamaica-179 St']] 2021-11-26 09:37:15.580700
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [6, 'f', 'Jamaica-179 St']] 2021-11-26 09:37:22.580428
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [6, 'f', 'Jamaica-179 St']] 2021-11-26 09:37:29.715332
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [6, 'f', 'Jamaica-179 St']] 2021-11-26 09:37:36.719435
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [5, 'f', 'Jamaica-179 St']] 2021-11-26 09:37:43.786370
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [5, 'f', 'Jamaica-179 St']] 2021-11-26 09:37:50.996154
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [5, 'f', 'Jamaica-179 St']] 2021-11-26 09:37:57.983169
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [5, 'f', 'Jamaica-179 St']] 2021-11-26 09:38:04.962284
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [5, 'f', 'Jamaica-179 St']] 2021-11-26 09:38:11.876495
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'm', 'Forest Hills-71 Av'], [5, 'f', 'Jamaica-179 St']] 2021-11-26 09:38:18.951938
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [1, 'm', 'Forest Hills-71 Av'], [5, 'f', 'Jamaica-179 St']] 2021-11-26 09:38:26.241426
['Jackson Hts-Roosevelt Av', [1, 'm', 'Forest Hills-71 Av'], [5, 'f', 'Jamaica-179 St'], [7, 'e', 'Jamaica-179 St']] 2021-11-26 09:38:33.193562
['Jackson Hts-Roosevelt Av', [1, 'm', 'Forest Hills-71 Av'], [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St']] 2021-11-26 09:38:40.506847
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [8, 'F', 'Jamaica-179 St']] 2021-11-26 09:38:47.426669
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [8, 'F', 'Jamaica-179 St']] 2021-11-26 09:38:54.332569
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [7, 'F', 'Jamaica-179 St']] 2021-11-26 09:39:01.437459
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [6, 'F', 'Jamaica-179 St']] 2021-11-26 09:39:08.446446
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [6, 'F', 'Jamaica-179 St']] 2021-11-26 09:39:15.370069
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [6, 'F', 'Jamaica-179 St']] 2021-11-26 09:39:22.312868
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [6, 'F', 'Jamaica-179 St']] 2021-11-26 09:39:29.419737
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [6, 'F', 'Jamaica-179 St']] 2021-11-26 09:39:36.602944
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [6, 'F', 'Jamaica-179 St']] 2021-11-26 09:39:43.704619
['Jackson Hts-Roosevelt Av', [4, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [6, 'F', 'Jamaica-179 St']] 2021-11-26 09:39:50.758378
['Jackson Hts-Roosevelt Av', [3, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [6, 'F', 'Jamaica-179 St']] 2021-11-26 09:39:57.878227
['Jackson Hts-Roosevelt Av', [3, 'f', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St'], [6, 'F', 'Jamaica-179 St']] 2021-11-26 09:40:04.921450
['Jackson Hts-Roosevelt Av', [3, 'f', 'Jamaica-179 St'], [5, 'F', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St']] 2021-11-26 09:40:11.847203
['Jackson Hts-Roosevelt Av', [2, 'f', 'Jamaica-179 St'], [5, 'F', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St']] 2021-11-26 09:40:19.006385
['Jackson Hts-Roosevelt Av', [2, 'f', 'Jamaica-179 St'], [5, 'F', 'Jamaica-179 St'], [6, 'e', 'Jamaica-179 St']] 2021-11-26 09:40:26.165496
['Jackson Hts-Roosevelt Av', [2, 'f', 'Jamaica-179 St'], [5, 'e', 'Jamaica-179 St'], [5, 'F', 'Jamaica-179 St']] 2021-11-26 09:40:33.293250
['Jackson Hts-Roosevelt Av', [2, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [5, 'F', 'Jamaica-179 St']] 2021-11-26 09:40:40.312635
['Jackson Hts-Roosevelt Av', [2, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [5, 'F', 'Jamaica-179 St']] 2021-11-26 09:40:47.352665
['Jackson Hts-Roosevelt Av', [2, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [5, 'F', 'Jamaica-179 St']] 2021-11-26 09:40:54.360052
['Jackson Hts-Roosevelt Av', [2, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [5, 'F', 'Jamaica-179 St']] 2021-11-26 09:41:01.569566
['Jackson Hts-Roosevelt Av', [2, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:41:08.878602
['Jackson Hts-Roosevelt Av', [1, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:41:15.942044
['Jackson Hts-Roosevelt Av', [1, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:41:22.989821
['Jackson Hts-Roosevelt Av', [1, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:41:30.127565
['Jackson Hts-Roosevelt Av', [1, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:41:37.120314
['Jackson Hts-Roosevelt Av', [1, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:41:44.171965
['Jackson Hts-Roosevelt Av', [1, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:41:51.336079
['Jackson Hts-Roosevelt Av', [1, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:41:58.434199
['Jackson Hts-Roosevelt Av', [1, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:42:05.494521
['Jackson Hts-Roosevelt Av', [1, 'f', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'F', 'Jamaica-179 St']] 2021-11-26 09:42:12.506538
['Jackson Hts-Roosevelt Av', [3, 'F', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:42:19.510624
['Jackson Hts-Roosevelt Av', [3, 'F', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:42:26.902303
['Jackson Hts-Roosevelt Av', [2, 'F', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:42:33.972877
['Jackson Hts-Roosevelt Av', [2, 'F', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:42:41.048440
['Jackson Hts-Roosevelt Av', [2, 'F', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:42:48.041287
['Jackson Hts-Roosevelt Av', [2, 'F', 'Jamaica-179 St'], [4, 'e', 'Jamaica-179 St'], [4, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:42:55.034854
['Jackson Hts-Roosevelt Av', [2, 'F', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica-179 St']] 2021-11-26 09:43:02.029679
['Jackson Hts-Roosevelt Av', [2, 'F', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica-179 St']] 2021-11-26 09:43:08.951772
['Jackson Hts-Roosevelt Av', [2, 'F', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica-179 St']] 2021-11-26 09:43:15.850974
