['Times Sq-42 St', [3, '2', 'Wakefield-241 St'], [4, '1', 'Van Cortlandt Park-242 St'], [7, '2', 'Wakefield-241 St']] 2022-01-11 17:51:17.072137
['86 St', [7, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [26, 'c', 'Euclid Av']] 2022-01-11 17:51:22.798643
['86 St', [3, 'c', '168 St'], [18, 'c', '168 St'], [34, 'c', '168 St']] 2022-01-11 17:51:22.810610
['86 St', [2, 'c', '168 St'], [18, 'c', '168 St'], [34, 'c', '168 St']] 2022-01-11 17:51:30.265040
['86 St', [7, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [26, 'c', 'Euclid Av']] 2022-01-11 17:51:30.276010
['86 St', [2, 'c', '168 St'], [18, 'c', '168 St'], [34, 'c', '168 St']] 2022-01-11 17:51:37.484761
['86 St', [7, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [25, 'c', 'Euclid Av']] 2022-01-11 17:51:37.493738
['86 St', [2, 'c', '168 St'], [17, 'c', '168 St'], [34, 'c', '168 St']] 2022-01-11 17:51:44.763163
['86 St', [7, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [25, 'c', 'Euclid Av']] 2022-01-11 17:51:44.787169
['86 St', [2, 'c', '168 St'], [17, 'c', '168 St'], [34, 'c', '168 St']] 2022-01-11 17:51:52.151410
['86 St', [7, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [25, 'c', 'Euclid Av']] 2022-01-11 17:51:52.164150
['86 St', [7, 'c', 'Euclid Av'], [16, 'c', 'Euclid Av'], [25, 'c', 'Euclid Av']] 2022-01-11 17:51:59.189090
['86 St', [2, 'c', '168 St'], [17, 'c', '168 St'], [34, 'c', '168 St']] 2022-01-11 17:51:59.437827
['86 St', [7, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [25, 'c', 'Euclid Av']] 2022-01-11 17:52:06.730355
['86 St', [2, 'c', '168 St'], [17, 'c', '168 St'], [34, 'c', '168 St']] 2022-01-11 17:52:06.742343
['86 St', [7, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [25, 'c', 'Euclid Av']] 2022-01-11 17:52:13.850990
['86 St', [2, 'c', '168 St'], [17, 'c', '168 St'], [34, 'c', '168 St']] 2022-01-11 17:52:14.292162
['86 St', [7, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [25, 'c', 'Euclid Av']] 2022-01-11 17:52:21.196088
['86 St', [2, 'c', '168 St'], [17, 'c', '168 St'], [34, 'c', '168 St']] 2022-01-11 17:52:21.547158
['86 St', [7, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [25, 'c', 'Euclid Av']] 2022-01-11 17:52:28.570449
['86 St', [2, 'c', '168 St'], [17, 'c', '168 St'], [33, 'c', '168 St']] 2022-01-11 17:52:29.028525
['86 St', [6, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [24, 'c', 'Euclid Av']] 2022-01-11 17:52:35.486371
['86 St', [2, 'c', '168 St'], [17, 'c', '168 St'], [33, 'c', '168 St']] 2022-01-11 17:52:36.168127
['86 St', [6, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [24, 'c', 'Euclid Av']] 2022-01-11 17:52:42.586564
['86 St', [2, 'c', '168 St'], [17, 'c', '168 St'], [33, 'c', '168 St']] 2022-01-11 17:52:43.295788
['86 St', [6, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [24, 'c', 'Euclid Av']] 2022-01-11 17:52:49.639899
['86 St', [1, 'c', '168 St'], [16, 'c', '168 St'], [33, 'c', '168 St']] 2022-01-11 17:52:50.277126
['86 St', [6, 'c', 'Euclid Av'], [15, 'c', 'Euclid Av'], [24, 'c', 'Euclid Av']] 2022-01-11 17:52:56.661102
['86 St', [1, 'c', '168 St'], [16, 'c', '168 St'], [33, 'c', '168 St']] 2022-01-11 17:52:57.619788
['86 St', [6, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [24, 'c', 'Euclid Av']] 2022-01-11 17:53:03.820067
['86 St', [1, 'c', '168 St'], [16, 'c', '168 St'], [33, 'c', '168 St']] 2022-01-11 17:53:04.750362
['86 St', [6, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [24, 'c', 'Euclid Av']] 2022-01-11 17:53:10.863972
['86 St', [16, 'c', '168 St'], [33, 'c', '168 St'], [40, 'c', '168 St']] 2022-01-11 17:53:11.626457
['86 St', [6, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [24, 'c', 'Euclid Av']] 2022-01-11 17:53:18.088545
['86 St', [16, 'c', '168 St'], [33, 'c', '168 St'], [40, 'c', '168 St']] 2022-01-11 17:53:18.810379
['86 St', [6, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [24, 'c', 'Euclid Av']] 2022-01-11 17:53:25.013686
['86 St', [16, 'c', '168 St'], [33, 'c', '168 St'], [40, 'c', '168 St']] 2022-01-11 17:53:26.094888
['86 St', [6, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:53:32.005374
['86 St', [16, 'c', '168 St'], [33, 'c', '168 St'], [40, 'c', '168 St']] 2022-01-11 17:53:32.985316
['86 St', [6, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:53:38.973602
['86 St', [15, 'c', '168 St'], [33, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:53:39.767213
['86 St', [6, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:53:46.074377
['86 St', [15, 'c', '168 St'], [33, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:53:46.897236
['86 St', [6, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:53:53.034652
['86 St', [15, 'c', '168 St'], [33, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:53:54.036659
['86 St', [6, 'c', 'Euclid Av'], [14, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:54:00.291479
['86 St', [15, 'c', '168 St'], [33, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:54:01.048397
['86 St', [5, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:54:07.274063
['86 St', [15, 'c', '168 St'], [32, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:54:08.107865
['86 St', [5, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:54:14.174076
['86 St', [15, 'c', '168 St'], [32, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:54:15.000990
['86 St', [4, 'c', 'Euclid Av'], [13, 'c', 'Euclid Av'], [23, 'c', 'Euclid Av']] 2022-01-11 17:54:21.051250
['86 St', [15, 'c', '168 St'], [31, 'c', '168 St'], [39, 'c', '168 St']] 2022-01-11 17:54:22.125043
