['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:33:07.426852
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:33:13.931403
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:33:20.859241
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:33:27.555915
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn']] 2021-11-25 10:33:34.420506
['Franklin Avenue-Medgar Evers College', [8, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [13, '3', 'Harlem-148 St']] 2021-11-25 10:33:41.080930
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [11, '3', 'Harlem-148 St']] 2021-11-25 10:35:47.668454
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [11, '3', 'Harlem-148 St']] 2021-11-25 10:35:54.303567
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [10, '3', 'Harlem-148 St']] 2021-11-25 10:36:01.019412
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [10, '3', 'Harlem-148 St']] 2021-11-25 10:36:07.538071
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [10, '3', 'Harlem-148 St']] 2021-11-25 10:36:14.228305
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:36:20.758028
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:36:27.378538
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:36:33.999633
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:36:40.688054
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:36:47.229132
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:36:53.847661
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:37:00.458288
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:37:07.017801
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:37:13.830916
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:37:20.376190
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:37:27.057940
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:37:33.557708
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:37:40.203594
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:37:46.775480
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:37:53.447420
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:38:00.239258
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:38:06.763025
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:38:13.411867
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:38:20.128523
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:38:27.017634
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:38:33.813537
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:38:40.510576
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St']] 2021-11-25 10:38:47.197162
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St']] 2021-11-25 10:38:53.924405
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St']] 2021-11-25 10:39:00.517229
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St']] 2021-11-25 10:39:07.156574
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St']] 2021-11-25 10:39:13.751937
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St']] 2021-11-25 10:39:20.316599
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St']] 2021-11-25 10:39:26.931079
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St']] 2021-11-25 10:39:33.606711
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [6, '3', 'Harlem-148 St']] 2021-11-25 10:39:40.256611
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [5, '3', 'Harlem-148 St']] 2021-11-25 10:39:46.838570
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [5, '3', 'Harlem-148 St']] 2021-11-25 10:39:53.513963
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [5, '3', 'Harlem-148 St']] 2021-11-25 10:40:00.206512
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [5, '3', 'Harlem-148 St']] 2021-11-25 10:40:06.943719
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [5, '3', 'Harlem-148 St']] 2021-11-25 10:40:13.577858
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [5, '3', 'Harlem-148 St']] 2021-11-25 10:40:20.101301
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [5, '3', 'Harlem-148 St']] 2021-11-25 10:40:26.806455
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [5, '3', 'Harlem-148 St']] 2021-11-25 10:40:33.346231
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:40:40.090975
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:40:46.756288
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:40:53.423552
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:40:59.306131
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:00.455687
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:06.286904
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:07.215531
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:13.027892
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:17.550792
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:24.138061
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [3, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:30.706050
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [3, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn']] 2021-11-25 10:41:37.385808
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [3, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn']] 2021-11-25 10:41:44.128858
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [11, '2', 'Wakefield-241 St']] 2021-11-25 10:41:50.720779
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [11, '2', 'Wakefield-241 St']] 2021-11-25 10:41:57.665775
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [10, '2', 'Wakefield-241 St']] 2021-11-25 10:42:04.440542
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [10, '2', 'Wakefield-241 St']] 2021-11-25 10:42:11.117024
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [10, '2', 'Wakefield-241 St']] 2021-11-25 10:42:17.789895
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [10, '2', 'Wakefield-241 St']] 2021-11-25 10:42:24.532135
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:29.135332
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:31.318307
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:40.278689
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:40.945184
