[5, 'SI', 'S19S', 'S22S', 'Great Kills', 'New Dorp', '114565_SI..S'] 2022-02-15 19:17:48.136494
[-43, '7', '65', '65', 0, 'GO703_21_2876'] 2022-02-15 20:20:12.406977
[13, '7', '65', '65', 0, 'GO703_21_2878'] 2022-02-15 20:23:11.539548
[13, '7', '65', '65', 0, 'GO703_21_2878'] 2022-02-15 20:23:15.688443
[13, '7', '65', '65', 0, 'GO703_21_2878'] 2022-02-15 20:23:21.148723
[-73, '4', '179', '179', 0, 'GO703_21_2082'] 2022-02-15 20:41:38.579028
[-73, '4', '179', '179', 0, 'GO703_21_2082'] 2022-02-15 20:41:53.040089
[-74, '4', '179', '179', 0, 'GO703_21_2082'] 2022-02-15 20:42:12.723388
[0, '6', '113', '113', 0, 'GO703_21_888'] 2022-02-15 20:43:55.801997
[29, '1', '27', '27', 0, 'GO703_21_182'] 2022-02-15 20:44:38.832428
[29, '1', '27', '27', 0, 'GO703_21_182'] 2022-02-15 20:44:49.435086
[28, '1', '27', '27', 0, 'GO703_21_182'] 2022-02-15 20:45:30.374544
[27, '1', '27', '27', 0, 'GO703_21_182'] 2022-02-15 20:46:31.767098
[27, '1', '27', '27', 0, 'GO703_21_182'] 2022-02-15 20:46:44.976531
[26, '1', '27', '27', 0, 'GO703_21_182'] 2022-02-15 20:47:02.020156
[26, '1', '27', '27', 0, 'GO703_21_182'] 2022-02-15 20:47:10.727117
[26, '1', '27', '27', 0, 'GO703_21_182'] 2022-02-15 20:47:37.520654
[25, '1', '27', '107', 0, 'GO703_21_182'] 2022-02-15 20:48:55.519340
[24, '1', '27', '107', 0, 'GO703_21_182'] 2022-02-15 20:49:06.754212
[24, '1', '27', '107', 0, 'GO703_21_182'] 2022-02-15 20:49:47.986544
[23, '1', '27', '107', 0, 'GO703_21_182'] 2022-02-15 20:50:05.390298
[23, '1', '27', '107', 0, 'GO703_21_182'] 2022-02-15 20:50:54.785727
[22, '1', '27', '27', 0, 'GO703_21_182'] 2022-02-15 20:51:37.036347
[21, '1', '27', '107', 0, 'GO703_21_182'] 2022-02-15 20:52:23.889886
