['Franklin Avenue-Medgar Evers College', [2, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St'], [5, '3', 'Harlem-148 St']] 2021-10-28 11:25:20.501176
['Franklin Avenue-Medgar Evers College', [1, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St'], [5, '3', 'Harlem-148 St']] 2021-10-28 11:25:30.363072
['Franklin Avenue-Medgar Evers College', [1, '5', 'Eastchester-Dyre Av'], [4, '2', 'Wakefield-241 St'], [5, '3', 'Harlem-148 St']] 2021-10-28 11:25:41.109419
['Franklin Avenue-Medgar Evers College', [1, '5', 'Eastchester-Dyre Av'], [4, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn']] 2021-10-28 11:25:54.964959
['Franklin Avenue-Medgar Evers College', [1, '5', 'Eastchester-Dyre Av'], [4, '2', 'Wakefield-241 St'], [5, '3', 'Harlem-148 St']] 2021-10-28 11:26:04.892510
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [5, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn']] 2021-10-28 11:26:17.064512
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [4, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn']] 2021-10-28 11:26:28.240765
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [1, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St']] 2021-10-28 11:32:11.524472
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [1, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St']] 2021-10-28 11:32:21.931058
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [1, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St']] 2021-10-28 11:32:30.417799
['Franklin Avenue-Medgar Evers College', [1, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St'], [5, '3', 'Harlem-148 St']] 2021-10-28 11:32:37.358902
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [2, '5', 'Eastchester-Dyre Av'], [4, '3', 'Harlem-148 St']] 2021-10-28 11:32:45.314215
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [2, '5', 'Eastchester-Dyre Av'], [4, '2', 'Wakefield-241 St']] 2021-10-28 11:32:53.774909
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [2, '5', 'Eastchester-Dyre Av'], [4, '2', 'Wakefield-241 St']] 2021-10-28 11:33:05.521881
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [1, '5', 'Eastchester-Dyre Av'], [4, '2', 'Wakefield-241 St']] 2021-10-28 11:33:12.358886
