[33, 'J', 'M23S', 'M21', 'S', '107500_J..S'] 2022-02-23 18:08:32.432551
[25, 'J', 'M23S', 'M21', 'S', '106600_J..S'] 2022-02-23 18:08:36.453028
[18, 'J', 'M23S', 'M21', 'S', '105650_J..S'] 2022-02-23 18:08:40.623402
[6, 'J', 'M23S', 'M21', 'S', '104600_J..S'] 2022-02-23 18:08:44.571622
[33, 'J', 'M23S', 'M21', 'S', '107500_J..S'] 2022-02-23 18:08:53.223413
[25, 'J', 'M23S', 'M21', 'S', '106600_J..S'] 2022-02-23 18:08:56.958428
[30, 'J', 'M23S', 'M21', 'S', '107500_J..S'] 2022-02-23 18:14:13.202605
[19, 'J', 'M23S', 'M21', 'S', '106600_J..S'] 2022-02-23 18:14:17.257829
[13, 'J', 'M23S', 'M21', 'S', '105650_J..S'] 2022-02-23 18:14:21.205387
[0, 'J', 'M23S', 'M21', 'S', '104600_J..S'] 2022-02-23 18:14:25.156152
[30, 'J', 'M23S', 'M21', 'S', '107500_J..S'] 2022-02-23 18:14:33.984188
[19, 'J', 'M23S', 'M21', 'S', '106600_J..S'] 2022-02-23 18:14:37.714479
[12, 'J', 'M23S', 'M21', 'S', '105650_J..S'] 2022-02-23 18:14:41.448446
[0, 'J', 'M23S', 'M21', 'S', '104600_J..S'] 2022-02-23 18:14:45.216941
[29, 'J', 'M23S', 'M21', 'S', '107500_J..S'] 2022-02-23 18:14:53.910241
[19, 'J', 'M23S', 'M21', 'S', '106600_J..S'] 2022-02-23 18:14:57.671332
[11, 'J', 'M23S', 'M21', 'S', '105650_J..S'] 2022-02-23 18:15:01.450331
[35, 'J', 'M23S', 'M21', 'S', '109750_J..S'] 2022-02-23 18:29:55.664125
[34, 'J', 'M23S', 'M21', 'S', '109750_J..S'] 2022-02-23 18:30:55.791197
[34, 'J', 'M23S', 'M21', 'S', '109750_J..S'] 2022-02-23 18:31:49.316622
[34, 'J', 'M23S', 'M21', 'S', '109750_J..S'] 2022-02-23 18:32:50.100201
[33, 'J', 'M23S', 'M21', 'S', '109750_J..S'] 2022-02-23 18:33:34.389573
[32, 'J', 'M23S', 'M21', 'S', '109750_J..S'] 2022-02-23 18:34:26.784040
[31, 'J', 'M23S', 'M21', 'S', '109750_J..S'] 2022-02-23 18:34:49.381785
[31, 'J', 'M23S', 'M21', 'S', '109750_J..S'] 2022-02-23 18:35:20.395105
[42, 'J', 'M23S', 'M21', 'S', '110950_J..S'] 2022-02-23 18:36:22.145021
[38, 'J', 'M23S', 'M21', 'S', '110950_J..S'] 2022-02-23 18:38:31.681609
[38, 'J', 'M23S', 'M21', 'S', '110950_J..S'] 2022-02-23 18:38:57.876026
